immigrant,female,black,hispanic,white,mixedrace,urban1997,rural1997,never_married,married,separated,divorced,widowed,ever_in_gang,victim_breakin_lt12yrs,victim_bully_lt12yrs,victim_shooting_lt12yrs,victim_breakin_12to18,victim_bully_12to18,victim_shooting_12to18,VictViolentCrime,ms_suspension,hs_suspension,hs_grad,college_degree,ged,special_education_history,bilingual_education_history,gifted_education_history,veteran,age,days_ms_suspension,days_hs_suspension,number_grades_repeated,number_grades_skipped,years_education_completed,highest_degree,SAT_math_score_2007,SAT_verbal_score_2007,ACT_score_2007,number_schools_attended,parent_expectation_in_jail_by20,age_first_incarcerated,income1996IA,income1997IA,income1998IA,income1999IA,income2000IA,income2001IA,income2002IA,income2003IA,income2004IA,income2005IA,income2006IA,income2007IA,income2008IA,income2009IA,income2010IA,income2012IA,income2014IA,income2016IA,income_20,income_25,income_30,income_35,assets_20,assets_25,assets_30,assets_35,debts_20,debts_25,debts_30,debts_35,total_n_incarcerated,total_months_incarcerated,months_longest_incarceration,months_first_incarceration,number_jobs_since20,Incarcerated,RelativeDied,Homeless,HHHospital,HHJail,NumSchoolsAttended,EverSmoke,EverArrested
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,16,0,1,V,V,11,0,I,I,V,3,10,V,.,.,16361.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,347.5,0,0,0,0,0,0,V,V,0,0,0,0,0,0,3,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,I,I,I,0,0,1,0,1,1,0,0,0,V,V,V,0,15,6,5,V,V,.,0,V,V,V,2,20,V,.,.,6034.908600000001,11160,8340,.,2872.7999999999997,.,2087.88,8118,4676.7,10474.800000000001,4778.55,.,.,.,8968.800000000001,16500,.,3570,.,15000,0,3400,0,0,0,0,0,0,0,0,V,V,6,0,1,0,0,0,2,1,1
1,1,1,0,0,0,1,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,13,0,0,V,V,17,4,V,V,V,2,V,V,.,.,467.46000000000004,.,.,.,.,1833,1391.92,.,46767,46388.4,43689.6,42705.6,52800,48299.99999999999,56055.00000000001,.,1300,35520,42000,.,19.5,487.5,0,.,15000,0,0,V,0,0,V,V,3,0,0,0,0,0,2,0,0
1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,V,V,V,0,13,0,0,0,I,11,0,V,V,V,2,V,V,.,.,.,22320,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,V,V,V,V,0,0,V,V,0,0,.,.,.,.,2,1,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,I,I,I,.,.,.,.,0,0,0,0,0,V,V,V,0,15,0,0,0,I,10,0,V,V,V,3,V,V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,V,V,V,V,0,0,V,V,0,0,.,.,.,.,3,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,14,0,0,V,V,16,4,4,4,V,V,V,V,.,1449,2337.3,.,.,.,5745.5999999999995,3666,60896.50000000001,73062,70150.5,156153.8292,105128.09999999999,110208,112200,72450,67266,93500.00000000001,3990,121049.48,63000,.,5320,2660,93100,139650,0,10500,10000,25000,0,0,V,V,7,0,1,0,1,0,.,0,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,15,0,0,V,V,18,4,4,3,V,V,V,V,5645.7,10143,59014.4877,.,25020,.,.,27495,.,.,.,156153.8292,166557.0429,110208,192722.64,217749.68249999997,145743,137500,.,.,160602.2,125000,816,53040,65280,136000,0,50001,100000,108001,0,0,V,V,12,0,0,0,0,0,.,1,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,16,0,0,0,0,16,4,5,5,V,1,0,V,62.73,.,701.19,.,.,.,.,.,.,22730.4,18706.8,37410,20479.5,20664,21120,18112.5,16816.5,13200.000000000002,.,17220,17600,15150,0,19112.5,.,118150,0,0,3000,2000,0,0,V,V,6,0,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,V,V,V,0,12,0,2,0,0,17,4,2,2,V,3,V,V,.,.,.,.,0,.,1915.1999999999998,3666,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19050,25400,.,.,0,0,0,V,0,0,V,V,13,0,0,0,0,0,3,1,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,I,I,I,0,0,0,0,0,0,1,1,0,2,2,2,0,13,0,0,V,V,16,4,4,4,V,2,V,V,.,.,.,.,.,3998.4,.,.,.,3247.2000000000003,6235.6,.,58025.25,.,56100,56752.49999999999,56055.00000000001,55000.00000000001,.,47175,49350,.,2990,69550,43550,.,0,0,7500,V,0,0,V,V,I,0,1,0,1,0,2,0,0
